model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8262,0.2483,15.6921,29.0713
TimesFM-2.5,0.8368,0.2494,15.8721,29.0943
TiRex,0.8386,0.2531,15.9606,29.4931
moirai2,0.8391,0.2499,15.9169,29.1917
TimesFM-2.0,0.8492,0.2557,16.0938,29.4592
chronos2_base,0.8493,0.253,16.2511,31.2384
dlinear,0.8534,0.2658,16.4354,29.3568
sundial_base,0.8555,0.2809,16.2607,29.2478
moirai_base,0.8601,0.2608,16.3871,29.8214
chronos_bolt_base,0.8616,0.2588,16.5812,34.7419
patchtst,0.8648,0.2568,16.4332,30.1927
TimesFM-1.0,0.8665,0.2633,16.5547,30.0459
deepar,0.8715,0.2525,16.4591,30.6671
lightgbm,0.9008,0.2918,17.3892,30.5778
auto_ets,0.9431,0.3083,18.4665,32.2407
seasonal_naive,1.0726,0.3725,20.9691,38.6879
kairos,1.0956,0.3341,21.4999,35.8107
