model,MASE,CRPS,MAE,RMSE
TiRex,0.9029,0.1927,2.9603,6.2941
TimesFM-2.5,0.9073,0.1915,2.9716,6.2223
chronos2_base,0.9138,0.1956,3.0155,6.4802
visiontspp_base,0.9152,0.1937,2.9865,6.2418
moirai2,0.92,0.1937,3.0135,6.2879
sundial_base,0.9203,0.21,3.0145,6.1446
TimesFM-2.0,0.9318,0.1976,3.0469,6.3677
chronos_bolt_base,0.9422,0.2006,3.0874,6.5966
TimesFM-1.0,0.9626,0.2022,3.13,6.4087
moirai_base,0.9847,0.2043,3.1546,6.466
lightgbm,0.991,0.2056,3.1626,6.3961
patchtst,1.0067,0.1979,3.1094,6.3375
auto_ets,1.0158,0.2392,3.4272,6.6316
dlinear,1.1429,0.2302,3.3162,6.38
seasonal_naive,1.1459,0.2953,3.8961,8.0403
kairos,1.1506,0.2251,3.5191,6.8637
deepar,1.2299,0.2131,3.3696,6.5598
