model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8289,0.2258,30.1203,49.7731
TimesFM-2.5,0.8384,0.2273,30.4909,50.0649
TiRex,0.8421,0.231,30.7224,50.7573
moirai2,0.8425,0.228,30.5995,50.0749
patchtst,0.8474,0.2257,30.3882,49.8837
chronos2_base,0.8486,0.2298,30.9939,51.8624
TimesFM-2.0,0.8541,0.2326,30.962,50.8074
sundial_base,0.8606,0.2543,31.3318,50.4525
chronos_bolt_base,0.861,0.2343,31.3569,54.1813
dlinear,0.864,0.2359,31.1523,50.0754
TimesFM-1.0,0.873,0.2394,31.7589,51.695
moirai_base,0.8735,0.2377,31.5551,51.1792
deepar,0.8891,0.2314,31.5309,51.9392
lightgbm,0.9019,0.2521,32.5639,51.5217
auto_ets,0.9441,0.2709,34.9896,54.5236
seasonal_naive,1.065,0.321,39.6092,64.469
kairos,1.1494,0.2984,40.7032,61.8991
