model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.9658,0.1564,4.7654,9.832
TiRex,0.9738,0.158,4.842,9.9377
TimesFM-2.5,0.9738,0.1556,4.8087,9.8495
moirai2,0.974,0.1563,4.8165,9.8321
chronos2_base,0.9772,0.1577,4.8688,10.1418
chronos_bolt_base,0.9858,0.1603,4.9103,10.3967
moirai_base,1.0014,0.166,5.0103,10.1334
sundial_base,1.0021,0.1805,4.987,9.9231
TimesFM-2.0,1.0172,0.1631,4.9466,10.1019
TimesFM-1.0,1.0798,0.1703,5.0553,10.1762
auto_ets,1.1041,0.2229,5.6431,10.6195
seasonal_naive,1.2288,0.2689,6.1708,12.5702
kairos,1.3131,0.2332,7.2957,13.1044
patchtst,1.42,0.1699,5.0998,10.3457
lightgbm,1.4793,0.1803,5.1717,10.2693
dlinear,1.6699,0.1993,5.1662,9.9806
deepar,2.5407,0.1831,5.428,10.4238
