model,MASE,CRPS,MAE,RMSE
TiRex,1.1694,0.351,0.9007,2.6009
visiontspp_base,1.1721,0.362,0.9205,2.6235
moirai2,1.1771,0.348,0.9205,2.633
TimesFM-2.5,1.1804,0.3468,0.909,2.607
chronos2_base,1.1979,0.3696,0.9367,2.6361
sundial_base,1.2025,0.4302,0.9619,2.556
moirai_base,1.2069,0.3575,0.9286,2.6516
chronos_bolt_base,1.2122,0.3646,0.9356,2.6798
kairos,1.2585,0.4119,0.9967,2.6901
TimesFM-2.0,1.3353,0.3625,0.9237,2.613
auto_ets,1.401,0.6318,1.2301,2.7817
seasonal_naive,1.481,0.8163,1.3211,3.4585
patchtst,1.4988,0.3556,0.9291,2.6561
TimesFM-1.0,1.5777,0.3681,0.9369,2.6213
deepar,1.6163,0.3687,0.9533,2.6833
dlinear,3.909,0.4564,1.0372,2.581
lightgbm,5.5399,0.3842,0.9507,2.6408
