model,MASE,CRPS,MAE,RMSE
patchtst,0.8148,0.2992,4.9044,8.788
visiontspp_base,0.8173,0.3049,4.9177,8.7693
TimesFM-2.5,0.8183,0.3005,4.9106,8.7088
TiRex,0.8243,0.3069,4.9623,8.799
moirai2,0.8284,0.3033,4.9798,8.833
dlinear,0.8299,0.3145,5.0255,8.7105
chronos2_base,0.8333,0.3113,5.0535,9.075
TimesFM-2.0,0.8368,0.3147,5.0603,8.9433
moirai_base,0.839,0.3165,5.0779,9.0142
sundial_base,0.8404,0.3442,5.0881,8.8371
chronos_bolt_base,0.8434,0.3165,5.1109,9.2133
deepar,0.8595,0.3283,5.2119,9.0824
TimesFM-1.0,0.8595,0.3283,5.194,9.0172
lightgbm,0.9085,0.3502,5.5512,9.4205
auto_ets,0.9237,0.3787,5.6893,9.5776
kairos,0.9336,0.3588,5.6888,9.5692
seasonal_naive,1.0895,0.4739,6.7322,11.5338
