model,MASE,CRPS,MAE,RMSE
TimesFM-2.5,0.8135,0.3259,3.2276,5.548
visiontspp_base,0.8154,0.3296,3.237,5.5963
TiRex,0.8179,0.3292,3.2494,5.5965
moirai2,0.8216,0.3259,3.2605,5.6169
dlinear,0.823,0.3367,3.2802,5.5575
chronos2_base,0.8289,0.3327,3.3056,5.8107
TimesFM-2.0,0.83,0.34,3.3057,5.6423
moirai_base,0.8365,0.3442,3.351,5.7817
sundial_base,0.8424,0.3762,3.3711,5.6914
chronos_bolt_base,0.8443,0.3413,3.3732,5.9329
patchtst,0.8447,0.3324,3.3442,5.6728
TimesFM-1.0,0.8661,0.3623,3.4677,5.87
deepar,0.8958,0.3691,3.6137,6.1599
auto_ets,0.9268,0.4117,3.7447,6.1646
lightgbm,0.9444,0.4334,3.8971,6.2773
kairos,0.9475,0.4023,3.8254,6.2188
seasonal_naive,1.1007,0.524,4.4971,7.5638
