model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8234,0.175,0.0629,0.1048
TiRex,0.8311,0.178,0.0638,0.1062
TimesFM-2.5,0.8356,0.1769,0.0638,0.1057
chronos_bolt_base,0.8379,0.1796,0.0641,0.1069
chronos2_base,0.8413,0.1797,0.0645,0.1078
TimesFM-2.0,0.8417,0.1793,0.0644,0.1069
sundial_base,0.8419,0.1958,0.0647,0.1054
moirai2,0.8515,0.1806,0.0652,0.1073
TimesFM-1.0,0.856,0.1836,0.0655,0.1078
patchtst,0.8611,0.1831,0.0655,0.1049
moirai_base,0.8764,0.1873,0.067,0.1097
dlinear,0.8824,0.1934,0.0677,0.1058
deepar,0.9083,0.1875,0.0689,0.1138
lightgbm,0.9301,0.1919,0.0696,0.1142
auto_ets,0.9514,0.212,0.0738,0.115
kairos,1.0307,0.2178,0.0787,0.1212
seasonal_naive,1.0643,0.2477,0.0821,0.1332
