model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8084,0.316,5.383,7.8508
chronos_bolt_base,0.8169,0.3226,5.4304,7.9007
TimesFM-2.5,0.8172,0.3169,5.4492,7.9393
TimesFM-2.0,0.8209,0.3206,5.4632,8.0051
chronos2_base,0.822,0.3217,5.4684,7.9804
TiRex,0.823,0.3234,5.4994,8.017
sundial_base,0.8285,0.3587,5.5339,7.9512
moirai2,0.8302,0.3212,5.5516,8.0673
TimesFM-1.0,0.835,0.3328,5.568,8.0845
dlinear,0.8403,0.3381,5.5864,7.8097
patchtst,0.8411,0.3353,5.5858,7.8175
moirai_base,0.8445,0.3328,5.6488,8.1445
deepar,0.8573,0.3177,5.6781,8.4339
lightgbm,0.8825,0.3417,5.8437,8.4665
auto_ets,0.9286,0.3856,6.2006,8.5617
kairos,1.0386,0.4087,6.9272,9.5313
seasonal_naive,1.0617,0.4602,7.0956,10.0524
