model,MASE,CRPS,MAE,RMSE
TiRex,0.7888,0.2316,12.2466,16.4598
TimesFM-2.5,0.794,0.2335,12.3226,16.4101
visiontspp_base,0.7996,0.2321,12.4081,16.5771
chronos_bolt_base,0.8068,0.2344,12.5118,16.8616
TimesFM-2.0,0.8074,0.2408,12.5305,16.6128
chronos2_base,0.808,0.2325,12.5385,16.8831
sundial_base,0.8094,0.2645,12.5414,16.5162
patchtst,0.8143,0.2603,12.6151,16.5526
dlinear,0.8202,0.2498,12.6899,16.5874
moirai2,0.8265,0.2437,12.8672,17.2345
moirai_base,0.8351,0.2437,12.9941,17.2721
deepar,0.8367,0.2705,12.9509,17.0002
TimesFM-1.0,0.8595,0.2611,13.3972,17.7244
auto_ets,0.9078,0.2736,14.094,18.1257
lightgbm,1.0112,0.3008,15.5181,19.3592
seasonal_naive,1.0474,0.3241,16.3474,21.3197
kairos,1.209,0.3436,18.9699,25.209
