model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8178,0.3126,5.2362,8.6719
patchtst,0.8219,0.3234,5.278,8.6342
TimesFM-2.5,0.8243,0.3108,5.2698,8.746
TiRex,0.8269,0.3189,5.3101,8.7885
moirai2,0.8349,0.3139,5.3445,8.823
chronos2_base,0.8362,0.32,5.384,8.9419
chronos_bolt_base,0.8382,0.3242,5.3922,9.0009
dlinear,0.8391,0.3358,5.4436,8.7194
sundial_base,0.8409,0.3549,5.4194,8.836
TimesFM-2.0,0.8423,0.3225,5.4118,8.964
moirai_base,0.8459,0.3255,5.4472,8.962
TimesFM-1.0,0.8552,0.3307,5.4874,8.9889
deepar,0.8619,0.3151,5.4756,9.2173
lightgbm,0.9132,0.3333,5.7765,9.5085
auto_ets,0.9229,0.382,6.0441,9.5202
kairos,0.9462,0.3688,6.1325,9.7181
seasonal_naive,1.0775,0.4713,7.0522,11.3943
