model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.7955,0.185,0.0506,0.0859
TiRex,0.8042,0.1905,0.0519,0.0886
TimesFM-2.5,0.8062,0.1872,0.0513,0.0875
chronos_bolt_base,0.808,0.1891,0.0515,0.0875
sundial_base,0.8161,0.2083,0.0525,0.0879
moirai2,0.8163,0.1892,0.0519,0.0878
chronos2_base,0.8171,0.1897,0.0523,0.0898
TimesFM-2.0,0.8222,0.1938,0.0523,0.0887
dlinear,0.8263,0.1996,0.0529,0.0868
TimesFM-1.0,0.8303,0.1982,0.0532,0.0897
moirai_base,0.8494,0.2008,0.0542,0.0907
patchtst,0.8499,0.2014,0.0542,0.0883
deepar,0.9014,0.2165,0.0573,0.0916
lightgbm,0.9265,0.2222,0.0595,0.0933
auto_ets,0.937,0.2256,0.0605,0.0954
kairos,1.0202,0.2396,0.0648,0.1015
seasonal_naive,1.0634,0.2678,0.0693,0.1149
