model,MASE,CRPS,MAE,RMSE
TiRex,1.1125,0.5413,1.5854,6.2331
visiontspp_base,1.1155,0.558,1.6338,6.2713
TimesFM-2.5,1.1211,0.4952,1.5956,6.2415
moirai2,1.1231,0.533,1.617,6.2913
TimesFM-2.0,1.1316,0.5412,1.6138,6.264
TimesFM-1.0,1.1357,0.5665,1.6438,6.2576
moirai_base,1.137,0.5255,1.6303,6.3123
patchtst,1.137,0.606,1.6105,6.3158
sundial_base,1.141,0.9191,1.7386,6.1627
chronos2_base,1.1424,0.5633,1.6744,6.4787
deepar,1.1428,0.4785,1.6347,6.3881
chronos_bolt_base,1.1472,0.5787,1.6662,6.437
lightgbm,1.1563,0.7107,1.6704,6.2411
kairos,1.193,0.7906,1.7786,6.4061
dlinear,1.2388,0.8768,1.8706,6.1891
auto_ets,1.3556,1.8814,2.4416,6.8211
seasonal_naive,1.4496,2.4225,2.4946,8.5302
