model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8129,0.3651,5.2843,8.1576
chronos_bolt_base,0.8176,0.3722,5.3181,8.1564
TimesFM-2.5,0.8206,0.3657,5.3419,8.2215
TimesFM-2.0,0.8258,0.369,5.3755,8.3329
chronos2_base,0.8276,0.3726,5.3909,8.3001
TiRex,0.8301,0.3765,5.4226,8.3444
moirai2,0.8306,0.3723,5.4117,8.2941
patchtst,0.8339,0.3881,5.4166,8.0495
sundial_base,0.8354,0.4219,5.4594,8.2547
dlinear,0.8357,0.4005,5.4306,8.0334
TimesFM-1.0,0.8382,0.3897,5.4743,8.398
deepar,0.8463,0.3672,5.4789,8.4986
moirai_base,0.8524,0.3875,5.5501,8.4271
lightgbm,0.8751,0.4428,5.7256,8.3963
auto_ets,0.9456,0.4686,6.151,8.811
seasonal_naive,1.0537,0.5513,6.8786,10.2708
kairos,1.1072,0.4935,7.257,10.3394
