model,MASE,CRPS,MAE,RMSE
TiRex,0.7912,0.2054,11.9931,16.1367
TimesFM-2.5,0.7974,0.2079,12.0777,16.1311
visiontspp_base,0.8021,0.2059,12.1444,16.2728
chronos_bolt_base,0.8077,0.2074,12.2412,16.5031
chronos2_base,0.8105,0.2073,12.2776,16.55
TimesFM-2.0,0.8118,0.2135,12.3058,16.3551
sundial_base,0.8128,0.2309,12.3205,16.2691
patchtst,0.8283,0.2234,12.5077,16.4081
moirai2,0.8307,0.2153,12.6242,16.9016
dlinear,0.831,0.2308,12.5452,16.5229
moirai_base,0.8414,0.2171,12.7769,16.938
TimesFM-1.0,0.8701,0.2313,13.272,17.566
lightgbm,0.8898,0.2374,13.4767,17.2153
auto_ets,0.918,0.2425,13.9509,17.9685
seasonal_naive,1.048,0.2858,16.041,21.1237
deepar,1.0861,0.3082,16.1686,20.8712
kairos,1.2077,0.3056,18.2934,23.917
