model,MASE,CRPS,MAE,RMSE
patchtst,0.9095,0.2589,15.4667,23.4825
visiontspp_base,0.9126,0.2561,15.5572,24.4462
chronos2_base,0.9148,0.2596,15.5821,23.9814
TiRex,0.9205,0.259,15.7612,24.4908
TimesFM-2.5,0.9214,0.2618,15.6947,24.1613
moirai2,0.9261,0.2602,15.7702,24.2713
chronos_bolt_base,0.928,0.2616,15.8567,24.7865
sundial_base,0.9369,0.2897,16.0107,24.4242
dlinear,0.9437,0.2689,16.0446,24.416
TimesFM-2.0,0.952,0.2708,16.2341,25.0203
deepar,0.9585,0.2786,16.2756,24.9166
moirai_base,0.9664,0.2784,16.5288,25.2773
TimesFM-1.0,0.9849,0.2776,16.7733,25.6076
lightgbm,0.9979,0.2908,17.0597,25.4262
auto_ets,1.0582,0.3151,18.1458,26.4147
seasonal_naive,1.0679,0.3324,18.4489,28.8281
kairos,1.7499,0.4667,29.4913,42.0203
