model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8502,0.2846,20.671,40.0188
TimesFM-2.5,0.8648,0.2844,20.9067,40.2202
chronos2_base,0.8668,0.2898,21.1401,41.3729
moirai2,0.8698,0.2873,21.1115,40.3774
TiRex,0.87,0.292,21.0696,40.4695
chronos_bolt_base,0.8735,0.2956,21.3051,41.6046
TimesFM-2.0,0.8744,0.293,21.2906,40.8761
sundial_base,0.8821,0.3284,21.6142,40.6053
patchtst,0.8858,0.2934,21.7989,41.859
TimesFM-1.0,0.8875,0.2973,21.6327,41.1887
dlinear,0.8913,0.3118,22.1349,40.8321
moirai_base,0.8914,0.2996,21.6874,40.9342
deepar,0.8965,0.3126,22.2166,42.487
lightgbm,0.9108,0.3215,22.7085,42.9164
auto_ets,0.9814,0.3616,24.6224,43.8215
kairos,1.059,0.3505,25.288,44.6913
seasonal_naive,1.0909,0.4343,27.8025,53.0974
