model,MASE,CRPS,MAE,RMSE
visiontspp_base,1.6296,0.148,0.4096,11.3598
TimesFM-2.5,1.6387,0.1441,0.4114,11.3532
TiRex,1.6403,0.1628,0.4151,11.3623
moirai2,1.6456,0.1486,0.4164,11.3628
chronos2_base,1.6459,0.1534,0.419,11.3693
chronos_bolt_base,1.6518,0.941,0.665,14.8405
sundial_base,1.6552,0.2156,0.4415,11.3511
TimesFM-2.0,1.6555,0.1542,0.4232,11.3645
patchtst,1.6721,0.2506,0.4678,11.3776
TimesFM-1.0,1.6776,0.1766,0.4314,11.3675
moirai_base,1.6864,0.1517,0.424,11.3715
lightgbm,1.7096,0.3526,0.5807,12.0757
dlinear,1.7215,0.5229,0.6342,12.0907
auto_ets,1.773,1.0845,0.7294,12.1412
deepar,1.8409,0.3589,0.524,11.4274
seasonal_naive,1.8727,1.3228,0.6921,15.947
kairos,2.0228,0.4077,0.5559,11.5254
