model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8713,0.4431,8.1691,22.067
TiRex,0.8839,0.5195,8.2597,22.632
TimesFM-2.5,0.8861,0.4317,8.2579,22.4919
chronos_bolt_base,0.8899,0.5048,8.4168,22.3098
chronos2_base,0.8906,0.6279,8.402,22.7269
patchtst,0.8915,0.7974,8.8777,23.5038
moirai2,0.8936,0.4425,8.4412,22.9741
TimesFM-2.0,0.8996,0.7025,8.5679,22.6204
moirai_base,0.9005,0.4655,8.6445,24.2264
sundial_base,0.9017,0.9137,8.64,22.3246
dlinear,0.9109,1.2751,9.1799,22.4266
TimesFM-1.0,0.9192,1.0721,9.0153,23.4278
deepar,0.939,1.8948,9.5727,24.6575
lightgbm,0.9462,1.5072,9.5261,24.7793
auto_ets,0.985,1.1442,9.8096,23.5795
seasonal_naive,1.1052,1.8821,10.8728,29.3552
kairos,1.1324,1.08,10.5028,23.654
