model,CO,NO2,Ozone,PM10,PM2.5,SO2
visiontspp_base,0.77,0.7704,0.787,0.759,0.7528,0.7933
TiRex,0.7755,0.7847,0.7796,0.7666,0.7579,0.7897
TimesFM-2.5,0.7778,0.7786,0.7866,0.7641,0.7568,0.7945
moirai2,0.7858,0.7847,0.8125,0.7711,0.7632,0.7982
chronos2_base,0.7897,0.7857,0.7934,0.7749,0.7689,0.8069
chronos_bolt_base,0.7945,0.7822,0.7964,0.7827,0.7787,0.8114
sundial_base,0.7904,0.7947,0.8014,0.7804,0.7769,0.8056
TimesFM-2.0,0.7935,0.7905,0.8058,0.7806,0.7726,0.8282
moirai_base,0.8151,0.8021,0.8356,0.7851,0.7784,0.8155
patchtst,0.8024,0.833,0.8186,0.7689,0.7716,0.8542
TimesFM-1.0,0.8099,0.8102,0.8645,0.7942,0.7938,0.8682
dlinear,0.8365,0.8625,0.8406,0.7866,0.7843,1.0749
deepar,0.8633,0.9458,0.8913,0.8045,0.7963,0.9252
auto_ets,0.8966,0.8909,0.9014,0.8714,0.8629,0.9243
lightgbm,0.8738,0.8785,0.8722,0.8245,0.8397,1.0824
seasonal_naive,1.0,1.0,1.0,1.0,1.0,1.0
kairos,0.9803,1.0298,1.3323,0.897,0.8995,0.875
