model,AURN,CNEMC,CPCB,EEA DE,EEA FR,EPA,SINAICA
visiontspp_base,0.7551,0.7698,0.8054,0.7644,0.761,0.7765,0.7825
TiRex,0.7561,0.7754,0.806,0.767,0.7648,0.7795,0.7917
TimesFM-2.5,0.7566,0.7734,0.8084,0.7676,0.7653,0.7818,0.7954
chronos2_base,0.7767,0.7849,0.814,0.7782,0.7768,0.7899,0.7908
moirai2,0.7666,0.7801,0.817,0.7789,0.7761,0.7915,0.8025
chronos_bolt_base,0.778,0.791,0.8302,0.7824,0.7759,0.7922,0.7945
sundial_base,0.7661,0.7915,0.8257,0.7832,0.7803,0.7977,0.8122
TimesFM-2.0,0.7696,0.7911,0.8325,0.7968,0.7775,0.803,0.8188
moirai_base,0.7836,0.7955,0.8567,0.7938,0.792,0.8052,0.8199
patchtst,0.7556,0.7868,0.9346,0.8241,0.7801,0.7946,0.8252
TimesFM-1.0,0.788,0.8157,0.8701,0.8488,0.7944,0.8354,0.8478
deepar,0.7801,0.8424,1.1956,0.8668,0.8385,0.8413,0.8687
dlinear,0.7824,0.8228,1.0162,1.1431,0.798,0.8296,0.8633
auto_ets,0.8658,0.8861,0.9065,0.8816,0.8852,0.9094,0.9317
lightgbm,0.8223,0.8599,0.9457,1.4266,0.841,0.8252,0.8684
seasonal_naive,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kairos,0.8639,1.0036,1.3256,0.9377,0.949,1.0047,1.0189
