model,MASE,CRPS,MAE,RMSE
TiRex,0.8173,0.1879,12.1741,16.5021
patchtst,0.8184,0.2077,12.1195,15.9641
TimesFM-2.5,0.8222,0.1906,12.2316,16.4612
visiontspp_base,0.8255,0.1928,12.2823,16.607
sundial_base,0.8262,0.2167,12.2879,16.3804
chronos_bolt_base,0.8276,0.1902,12.3226,16.7372
TimesFM-2.0,0.8351,0.2025,12.427,16.6606
chronos2_base,0.8364,0.1901,12.4428,16.9058
dlinear,0.8371,0.2091,12.3959,16.3444
lightgbm,0.8518,0.2204,12.617,16.543
moirai2,0.8538,0.2009,12.7407,17.1561
moirai_base,0.8701,0.2049,12.9755,17.3567
TimesFM-1.0,0.8892,0.2261,13.3033,17.8464
deepar,0.8931,0.2484,13.194,17.4538
auto_ets,0.9507,0.2257,14.1812,18.4044
seasonal_naive,1.047,0.2581,15.731,21.0128
kairos,1.4908,0.335,21.8919,28.4842
