model,MASE,CRPS,MAE,RMSE
TiRex,1.2683,2.2816,1.6655,5.702
visiontspp_base,1.2725,2.7729,1.7377,5.7711
TimesFM-2.5,1.276,1.9267,1.6922,5.7065
moirai2,1.2811,2.0317,1.6998,5.7626
chronos2_base,1.2864,2.4543,1.7511,5.9196
chronos_bolt_base,1.2919,3.0716,1.7357,5.9128
moirai_base,1.298,2.3713,1.737,5.8467
sundial_base,1.3064,5.1765,1.8197,5.6277
patchtst,1.3285,1.3375,1.7624,6.1129
lightgbm,1.3391,3.6413,1.7838,5.8754
TimesFM-2.0,1.3491,2.8093,1.7167,5.7379
deepar,1.3838,0.7805,1.8039,5.9845
kairos,1.3936,4.7873,1.9415,5.9882
dlinear,1.4408,3.0663,1.9689,5.9773
TimesFM-1.0,1.466,3.2127,1.7607,5.7726
auto_ets,1.4914,11.7612,2.3583,6.1748
seasonal_naive,1.5638,17.1951,2.4497,7.5748
