model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8848,0.3312,0.0916,0.1549
TiRex,0.8928,0.334,0.093,0.1576
TimesFM-2.5,0.9006,0.338,0.0928,0.1557
chronos2_base,0.9012,0.3323,0.0937,0.1586
moirai2,0.9075,0.3194,0.094,0.1576
chronos_bolt_base,0.9092,0.3386,0.0942,0.1597
TimesFM-2.0,0.9166,0.3326,0.0946,0.1589
sundial_base,0.9195,0.3756,0.0956,0.1561
patchtst,0.9243,0.3221,0.0942,0.1584
moirai_base,0.9279,0.3339,0.0963,0.1605
TimesFM-1.0,0.9433,0.3709,0.0973,0.1609
lightgbm,0.9512,0.348,0.0972,0.1602
dlinear,0.9696,0.3824,0.0973,0.1558
deepar,1.0368,0.3503,0.1009,0.1639
auto_ets,1.0501,0.4239,0.1111,0.1714
seasonal_naive,1.1164,0.4964,0.1211,0.205
kairos,1.1298,0.4299,0.1195,0.1876
