model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8041,0.3442,2.8962,5.4751
TiRex,0.8062,0.3452,2.9085,5.486
TimesFM-2.5,0.8063,0.3403,2.899,5.4718
moirai2,0.8153,0.3433,2.9332,5.5452
patchtst,0.8184,0.3578,2.9435,5.4726
chronos2_base,0.823,0.3513,2.9814,5.7149
sundial_base,0.8257,0.3897,2.9935,5.525
TimesFM-2.0,0.8266,0.3544,2.9909,5.6073
deepar,0.8296,0.3536,2.9865,5.6161
moirai_base,0.8318,0.3595,3.0128,5.6782
chronos_bolt_base,0.8323,0.3566,3.0298,6.1162
dlinear,0.8344,0.3581,3.0212,5.5189
TimesFM-1.0,0.8392,0.3624,3.0313,5.6296
lightgbm,0.8605,0.3842,3.1085,5.6789
auto_ets,0.9234,0.4363,3.4317,6.1675
kairos,0.9283,0.4102,3.3914,6.0222
seasonal_naive,1.0898,0.5509,4.0347,7.4245
